"Delivery period:","Délai de livraison:"
"Click on the seal to check validity!","Cliquez sur le sceau pour vérifier la validité!"
"is a certified online shop with Trusted Shops Certificate","est un site marchand certifié avec certificat Trusted Shops"
"more...","plus..."
"Details for diecrema.de","Plus d'informations sur DieCrema.com"
"diecrema.de","DieCrema.com"
"All Rights Reserved.","Tous droits réservés."
"All prices include VAT and exclude","Tous les prix incluent la TVA et excluent"
"All prices include VAT","Tous les prix incluent la TVA"
"Productinfo","Renseignements sur le produit"
"Specifications","Caractéristiques"
"Instructions","Instructions"
"News","Nouvelles"
"Your shop for espresso machines and coffee","DieCrema.com - Votre boutique de machines à espresso et cafe"
"We warmly welcome you to our online store DieCrema. Here you will find all you need to know about espresso machines, coffee machines, coffee grinders and espresso varieties. We offer only products of the highest quality having spent the last few years turning a much-loved hobby into a profession.","Nous vous souhaitons la bienvenue sur notre boutique en ligne DieCrema. Ici, vous trouverez tout ce que vous avez à savoir sur les machines à expresso, machines à café, moulins à café et de variétés espresso. Nous ne proposons que des produits de la meilleure qualité, ayant passé les dernières années à transformer notre hobby adoré en métier."
"In our DieCrema online store, you will find everything about portafilter espresso machines, coffee grinders and espresso beans. We deal with the issue for several years espresso and strive only for quality goods. DieCrema stands for quality and enjoyment. Espresso should taste, but this is only possible with the correct filter holder espresso machine, a good grinder and the right coffee. Ask. Imagine that you are sitting on a summer day in Italy, at an outdoor café and an espresso A pleasurable moment. We want to give you this moment. With our original espresso varieties, for example Hausbrandt, along with a Bezzera espresso machine and a Mazzer coffee grinder, we bring you the feel of a real Italian cafes directly home.","xxx"
"We are an authorized trading partner of ATT, Ascaso, Bezzera, conceptart, Danesi, Elektra, Eureka, Faema, Hausbrandt, Ilsa, LaCimbali, LaMarzocco, LaPavoni, Mazzer, Macap, Nuova Ricambi, Nuova Simonelli, Quickmill, Rocket Espresso, Vibiemme and WaterAndMore.","Nous sommes un partenaire commercial autorisé d'ATT, Ascaso, Bezzera, ConceptArt, Danesi, Elektra, Eureka, Faema, Hausbrandt, Ilsa, LaCimbali, LaMarzocco, LaPavoni, Mazzer, Macap, Nuova Ricambi, Nuova Simonelli, Quickmill, Espresso Rocket, et Vibiemme WaterAndMore."
""Trusted Shops certificate of quality","Trusted Shops certificat de qualité"
"Certificate of quality","Certificat de qualité"
"Please check validity!","S'il vous plaît vérifier la validité!"
"Buyer protection","Protection de l'acheteur"
"As an additional service, we offer you the Trusted Shops buyer protection.","Comme un service supplémentaire, nous vous offrons la protection de l'acheteur Trusted Shops."
"We assume all the costs of this warranty, you only have to register.","Nous supposons que tous les coûts de cette garantie, il suffit de vous inscrire."
"Registration for the Trusted Shops buyer protection","Inscription à la protection de l'acheteur Trusted Shops"
"Authorized partners","Partenaires agréés"
"I want to subscribe to the newsletter","Je veux abonner la newsletter (désabonner à tout moment)."